persuade |  v. 说服 vt. 劝说,说服
frustration |  n. 打破,挫折,顿挫 // [计算机] 失败
flossy |  adj. 华丽的, 时髦的, 丝棉的, 柔软的
glossy |  adj. 光滑的, 有光泽的
glucose |  n. 葡萄糖
hypnotic |  adj. 催眠的, 催眠术的, 易于催眠的 // n. 催眠药, 安眠药, 催眠状态的人
igloo |  n.（爱斯基摩人用冰雪凝块砌成的）拱形圆顶小屋
incongruous |  adj. 不协调的, 不一致的, 前后不一的
infirmity |  n. 虚弱, 病身, 疾病，弱点
insulin |  n. 胰岛素
intermix |  v. 混入, 混杂
introductory |  adj. 介绍的, 引导的, 开端的
manipulative |  adj. 用手处理的,巧妙处理的,窜改的
maternal |  adj. 母亲的, 母系的, 母方的
meagre |  adj. 瘦的, 不足的, 贫乏的 // =meager(美)
mimetic |  adj. 模仿的
mimic |  vt. 模仿，摹拟 // n. 效颦者，模仿者；仿制品；小丑
nomadic |  adj. 游牧的, 游牧民族的, 流浪的
numeration |  n. 记数, 计算
onslaught |  n. 突击, 猛击, 猛攻
pancreatic |  adj. 胰脏的
paramount |  adj. 极为重要的 // Paramount. 派拉蒙(美电影公司)
precarious |  adj. 不确定的, 危险的
punctual |  adj. 严守时刻的,准时的,正点的
recalcitrant |  adj. 反抗的, 反对的, 顽强的 // n. 反抗的人, 顽强者
referendum |  n. 公民投票,普通投票,请示书
regimen |  n. 养生法, 生活规则,训练课程，统治，制度
remuneration |  n. 报酬,赔偿,补偿
reprint |  vt. 再版, 重印 // n. 再版，重印本
retrenchment |  n. 减少，删除
sanction |  n. 核准,处罚,约束力 // v. 制定制裁规则,认许,核准
squirrel |  n. 松鼠, 松鼠皮毛 // vt. 储存
statistical |  adj. 统计的, 统计学的
suffice |  vi. 足够,合格 // vt. 使...足够
triglyceride |  n. 甘油三酯
umbrella |  n. 伞,保护伞 // vt. 用伞遮住
unaided |  adj. 未受协助的，独立的
unwrap |  vt. 打开，展开
voluntarily |  adv. 自动地, 以自由意志
tremendous |  adj. 巨大的, 惊人的
liberty |  n. 自由；许可；冒失
perpetual |  adj. 永恒的,永久的,一再往复的
claim |  n. 要求,要求权;主张,断言,声称;要求物 // vt. 要求,请求；主张,声称,断言
cancel |  n. 取消,撤消 // vt. 取消,删去, 约分 // vi. 抵消
deteriorate |  vt. (使)恶化 // vi. (使)恶化, 瓦解, 衰退
immense |  adj. 巨大的,广大的,非常好的
appraisal |  n. 估计,估量,评价
fossil |  adj. 化石的 // n. 化石,食古不化的人,过时的词
terminal | n. n. 终端机,终点,末端 // adj. 终点的,晚期的,致死的
viable |  adj. 能生存的,可行的,能居住的的
equator |  n. 赤道
bronchitis |  n. 支气管炎
compulsory |  adj. 被强制的,强迫的,义务的
tolerate |  v. 忍受,容忍,容许,宽恕 // vt. 容忍,忍受,容许
scheme |  n. 方案, 计划, 阴谋 // v. 计画, 设计, 体系, 结构, 图谋
athlete |  n. 运动员
naive |  adj. 天真的,幼稚的
emergency |  adj. 紧急的 // n. 紧急情况,突发事件
complain |  vi. 抱怨,悲叹,控诉
format |  n. 设计,版式 // n.[计算机]格式,DOS命令 : 格式化(磁盘),用于空盘或使用过的磁盘建立新空盘来存储数据 // v. vt.使格式化,设计,安排
venture |  n. 冒险,风险,投机 // vt. 敢尝试,谨慎地做，冒险一试 // vi. 冒险做
process |  n.过程； 工序； 做事方法； 工艺流程 // vt.加工； 处理； 审阅； 审核 // vi.列队行进 // adj.经过特殊加工（或处理）的
controversial |  adj. 引起争论的,有争议的
depict |  vt. 描述,描绘
definite |  adj. 明确的,一定的
dizzy |  adj. 晕眩的, 傻的, (速度)极快的, 困惑的 // vt. 使困惑, 使晕眩
fatal |  adj. 致命的, 毁灭性的, 决定性的
conjunction |  n. 连词, 结合, 关联,(事件等的)同时发生
notorious |  adj. 臭名昭著的
abdomen |  n. 腹部
allocation |  n. 配置, 分配, 安置
alternatively |  adv. 二者择一地, 做为选择
analogy |  n. 相似,类似，类比
asbestos |  n. 石棉
biographer |  n. 传记记者
buffet |  n. 打击, 饮食柜台, 自助餐 // vt. 打击, 连续猛击 // adj. 受到非正式接待的(如同冷餐会般随意的)
built-in |  adj. 嵌入的，内装的 // n. 嵌入式，内置
candle wax |  烛用蜡
cinematographer |  n. 电影摄影技师, 放映技师
circumscribe |  vt. 在...周围画线, 限制
couple |  n. 对, 夫妇, 数个 // v. 加倍, 成双, 连结
descend from |  vt. 起源于，由 ... 传下来的
discrepancy |  n. 相差,差异,差别
disjunction |  n. [计]析取, 分离, 分裂
elucidate |  v. 阐明, 说明
excavation |  n. 挖掘, 发掘, 挖掘的洞，发掘物，遗迹
filler |  填充符
forgo |  v. 没有...就算了, 作罢停止, 放弃
foyer |  n. 门厅, 休息室
gallop |  n. 疾驰,飞奔 // v. 飞驰,急速进行,急急忙忙的说
garret |  n. 阁楼, 顶楼, 头
granular |  adj. 由小粒而成的, 粒状的
headphone |  n. 头戴式收话器, 双耳式耳机
heroic |  adj. 英雄的,英勇的 // (措施等) 冒险的; (药物) 剂量大的, 猛烈的
hexa |  pref. 六
hoof |  n. 蹄,人的脚 // v. 以蹄踢,行走,步行
incongruity |  n. 不调和, 不一致, 不配合
judo |  n. 柔道
line |  n. 行,线,航线,场界,皱纹,家族 // vt. &vi. 用做衬里,排成一行,顺...排列 // vi. 排成一行,顺...排列,划线于
lunatic |  adj. 疯狂的，极蠢的 // n. 疯子
malevolent |  adj. 有恶意的, 恶毒的
malleable |  adj. 可塑的, 易改变的
marshland |  n. 沼泽地
mass media |  n. 大众传播媒体，海量媒体数据，新闻界
meteorological |  adj. 气象的
mucky |  adj. 粪的, 肮脏的
obscurity |  n. 阴暗,不分明,身份低微
orthography |  n. 正确拼字, 拼字, 正字法
patronage |  n. 赞助, 光顾, 任免权
pedigree |  n. 家谱，系谱，血统，(动物的)种  // adj. 纯种的
penetration |  n. 渗透,侵入,突破,
phenol |  n. 黝分, 石碳酸
predecessor |  n. 前辈, 前任, 原有事物
psychiatrist |  n. 精神病医师, 精神病学家
psychic |  adj. 灵魂的, 精神的, 心灵的, 通灵的 // n.通灵的人
pterosaur |  n. 翼龙
queue |  n. 行列,长队 // v. 排队 // vi. 排长队
redevelopment |  n. 再发展
renaissance |  n. 文艺复兴,再生
rickety |  adj. 患软骨病的, 驼背的, 摇摆的
scuffle |  vi. 混战, 扭打，拖脚行走 // n. 混战
sew |  vt. 缝纫,缝合 // vi. 缝纫
skepticism |  n. 怀疑论, 怀疑态度, 怀疑主义
stuffy |  adj. (房间等)不通气的, (人或事物)沉闷乏味的, 自负的
thermoplastic |  adj. 热后可朔性的 // n. 热后可朔性物质
thermosetting |  adj. 热硬化性的
tortoiseshell |  n. 龟甲, 玳瑁, 蛱蝶, 花斑家猫 // adj. 龟甲的, 杂黄褐色的
whilst |  conj. 当...时, 可是, 虽然,只要
wing |  n. 翅膀,翼 // vt. 给...装上翼,飞行 // vi. 飞行
writhe |  vt. 挣扎, 痛苦地扭曲 // vi. 扭曲，翻腾，受苦 // n. 翻腾, 苦恼
incur |  v. 招致,蒙受,遭遇
flap |  n. 拍打，拍打声；襟翼 // vt.& vi. 拍打,鼓翼而飞,飘动
cholesterol |  n. 胆固醇
adjust |  vt. 调整, 使...适于 // vi. 适应
limitation |  n. 限制
notable |  adj. 显著的, 著名的 // n. 名人
degrade |  vt. 贬低；使……丢脸；使……降级；使……降解 // vi. 降级，降低；退化
acknowledge |  vt. 承认,公认,告知收到,表示感谢,注意到
infection |  n. 传染, 影响, 传染病
dissolve |  vt. 消除,解散,使溶解,解决(问题),使沮丧 // vi. 消散,溶解, 解散, 液化,变得模糊 // n. 叠化画面
surpass |  vt. 超越,凌驾,胜过
Mercury |  n. 水银, 水星
concession |  n. 让步, 妥协, 特许权
valid |  adj. 有确实根据的; 有效的; 正当的, 合法的
fascinating |  adj. 迷人的
nourish |  v. 滋养, 使...健壮, 怀有
flexibility |  n. 灵活性, 柔韧性，适应性
viscous |  adj. 粘的,有粘性的,粘性的
guidance |  n. 引导,指导,导航系统
invest |  vt.& vi.投资； 花费 // vt.授予，使就职； 给…穿衣，装饰； 使充满； 覆盖
eject |  vt.喷出； 驱逐； 强制离开 // vi.弹射出
assume |  vt. 假定, 设想, 承担; (想当然的)认为
refresh |  vt.& vi. 使...生气蓬勃,提起精神,恢复精神
wildlife |  n. 野生动物
monopoly |  n. 垄断,专利, 独占，控制
entrepreneur |  n. 企业家
in accordance with |  adj. 按照(根据, 与...致, 合乎, 和-一致)
variability |  n. 易变, 变化性, 变异性
flourish |  vi. 繁荣,茂盛,活跃,手舞足蹈 // vt. 挥舞 // n. 挥舞,华丽词藻,茂盛,兴旺,炫耀
remain |  v. 保持, 依然, 剩余, 留下, 逗留 // n. 遗迹, 剩余物, 残骸
compatible |  adj. 能共处的,可并立的,适合的, 兼容的 // n. 兼容
highlight |  n. 加亮区,精彩部分, 最重要的细节或事件, 闪光点 // vt. 加亮,强调, 使...显得重要, 照亮 // [计算机] 醒目
accredited |  adj.被认可的，可接受的，委任的 // 动词accredit的过去式和过去分词
alpha |  n. 希腊字母的第一个字母，最初，开端 // adj. [化]阿尔法位的，主导的，首要的，按字母顺序的
backlash |  n. 后冲, 反撞, 激烈反应, 强烈反对, 缠结, 齿轮隙
camouflage |  v. 伪装, 欺瞒
cipher |  n. 零, 暗号，阿拉伯数字，密码 // vi. 计算, 做算术 // vt. 将...写成密码
comma |  n. 逗号，停顿，间歇 // n. 银纹多角蛱蝶
configuration |  n. 结构,布局,形态,格式塔心理完形 // [计算机] 配置
culprit |  n. 犯人,罪犯,刑事被告,肇事者,罪魁祸首
curator |  n. 管理者(馆长)
cybernetics |  n. 控制论
disorientate |  vt. 使 ... 失去方向感，使 ... 神志迷乱 // =disorient
encapsulate |  v. 装入胶囊, 封进内部, 压缩
encyclopedia |  n. 百科全书
eventuality |  n. 不测的事, 可能发生的事
firefly |  n. 萤火虫
germinate |  v. 发芽, 萌芽, 开始发育 // v. 使发芽, 使发达
horticulture |  n. 园艺学
hypothetical |  adj. 假设的, 假定的, 爱猜想的
lozenge |  n. 菱形, 菱形花纹, [医]锭剂
mathematical |  adj. 数学的，精确的，可能性极小的
monograph |  n. 专题论文
mystical |  adj. 神秘的 // adj. 神秘主义的 // adj. 有心灵象征意义的
oxygenate |  v. 以氧处理, 氧化 // n. 氧化剂
perennial |  adj. 四季不断的, 继续多年的，永久的 // n.多年生植物
perpetuate |  vt. 使永存,使不朽
photoperiod |  n. 光周期
photoperiodism |  n. 光周期现象(光周期性)
photosynthesis |  n. 光合作用
propagate |  vt. &vi. 繁殖,扩增,传播,传送
Pueblo |  Pueblo: n. 普艾布罗(美国科罗拉多州中部一城市) // pueblo: n. 普埃布洛族，普埃布洛人
refundable |  adj. 可退费的，可偿还的
reinvigorate |  vt. 使再振作，使复生
shard |  n. 碎片(薄硬壳)
slumber |  n. 睡眠，微睡，休止状态 // v. 睡觉, 打盹, 静止，休眠
snapshot |  n. 快照，印象
solidify |  vt. 使牢固，使团结 // vi. 变坚固，变结实
somatotropin |  n. [生化]生长激素
sugarcane |  n. 甘蔗
tensile |  adj. 可拉长的, 可伸展的,张力的
travelogue |  n. 游记，旅行见闻，观光影片 // =travelog
treatise |  n. 论文, 论述
tuition |  n. 教诲,教学,学费
tundra |  n. 苔原, 冻土地带
unbeatable |  adj. 竞争不过的，无法与之竞争的，无敌的
commodity |  n. 商品, 日用品
capsule |  n. 荚膜, 胶囊, 简缩, 太空舱 // vt. 装入胶囊, 简缩, 概括 // adj. 精简的, 小巧的
venue |  n.犯罪地点,审判地,管辖地,发生地点,集合地,体育场馆
decipher |  vt. 译解
humble |  adj. 卑下的, 谦逊的, 粗陋的 // vt. 使...卑下, 贬低
bizarre |  adj. 奇异的,怪诞的 // n. 奇异花
residential |  adj. 住宅的,与居住有关的
obligation |  n. 义务, 责任
accelerate |  vt. 加速,提前,跳级 // vi. 加速
in addition |  adv. 另外,此外
unique |  adj. 独一无二的, 独特的, 稀罕的
interplay |  n. 相互影响
advance |  n. 前进,进步,预支 // vt. 前进，增涨，预先 // vi. 前进，提升 // adj. 预先的，提前的
luxury |  n. 奢侈, 豪华, 奢侈品
disagree |  v. 不一致, 有分歧，不适应，不适宜
skim |  vt. 撇去浮沫,略读,掠过,滑过 // vi. 掠过,覆盖了一层浮沫,侵吞钱财 // n. 一层浮沫,略读,脱脂物 // adj. 撇去浮沫的,由脱脂乳做的
unconquerable |  adj. 不可征服的，克服不了的，压抑不住的
sociology |  n. 社会学, 社会关系学, 群落生态学
regulate |  v. 有系统的管理,规定,调节
concern |  vt. 涉及, 影响, 关心 // n. 关心, 忧虑, 关心的事; 公司, 企业
influenza |  n. 流行性感冒
decorate |  vt. 装饰, 装修, 授予某人奖章或其他奖状
volunteer |  n. 志愿者,自行生长的植物 // adj. 志愿的,自行生长的(树等) // vt. &vi. 自愿(做)
substance |  n. 物质,实质,内容,重要性,财产
prescription |  n. 药方, 对策, 开处方
ensure |  vt. 确定,保证,担保
establish |  v. 建立, 确立, 创办
lexicographer |  n. 辞典编纂者
excursion |  n. 远足, 短途旅行
batch |  n. 一次所烘的面包,一次所制之量,一组, 批, 分批 // vi. 分批处理
shareholder |  n. 股东，股票持有人
nevertheless |  adv. 仍然, 不过 // conj. 然而, 不过
amorphous |  adj. 无定形的, 无组织的，非结晶的
anatomical |  adj. 结构上的, 解剖(学)的
bale |  n. 包, 捆, 货物 // n. 灾祸，不幸，悲痛 // v. 将...打包, 捆包, 包装
cancellation |  n. 取消
centrifugal |  adj. 离心的
chrysalis |  n. 蛹, 茧, 准备期
coachload |  n. 乘坐长途汽车旅行的一群人
colossal |  adj. 巨大的,异常的
commentator |  n. 注释者(注释者,解说员,新闻广播员)
consignment |  n. 委托 // adj. 委托的
coursework |  n. 课程作业
disillusionment |  n. 幻灭感
floral |  adj. 花似的, 花的, 植物的 // n. 以花占主要的图片或设计
individualistic |  adj. 个人主义的
inventive |  adj. 善于创造的, 发明的
liaise |  vi. 保持连络,担任连络员
matchstick |  n. 火柴
muddle |  n. 困惑, 混浊状态 // vt.使混乱，使糊涂, 使惊呆 // vi. 胡乱应付，混乱
newsletter |  n. 时事通讯, 时事分析, 时事传报
niggle |  v. 挑剔，吹毛求疵，惹恼 // n. 怀疑，抱怨
objectify |  vt. 使具体化，使客观化
oddly |  adv. 奇妙地,奇怪地,单数地
office |  n. 办公室，职务，事务
phosphorus |  n. 磷
pollinate |  v. 给...授粉 // vt. 授以花粉
polystyrene |  n. [高分子] 聚苯乙烯
porcelain |  n. 瓷器,瓷 // adj. 瓷制的, 精美的, 脆的
prefabricate |  vt. 预先建造组合
preposition |  n. 介词
pretension |  n. 自命不凡；虚荣；矫饰；声称；标榜；自称
prospectus |  n.内容说明书； （即将出版的书等的）内容介绍，简介； 计划书，意见书； （讲义等的）大纲
protrude |  v. 使突出，伸出,突出
provenance |  n. 出处, 起源
provisional |  adj. 暂时的 // n. 临时性,临时人员
radius |  n. 半径,桡骨,半径范围,辐射区
recapture |  n. 取回, 夺回 // vt. 拿回, 夺回, 再经历，再俘获
rediscovery |  n. 重新发现
requirement |  n. 要求,必要条件
sledge |  n. 雪橇, 大锤 // v. 用雪橇搬运, 坐雪橇往
smolder |  vi. 无火焰地闷烧, 压抑
studious |  adj. 爱好学问的,努力于...的,热心的
trap |  n. 圈套,陷阱,困境,双轮轻便马车  // vt. &vi. 设圈套,设陷阱
treasurer |  n. 会计, 出纳员，司库
unemployment |  n. 失业,失业人数
splendid |  adj. 辉煌的；灿烂的；极好的；杰出的
feasible |  adj. 可行的,可能的
sufficient |  adj. 足够的, 充分的
chain |  n. 链,连锁,束缚 // vt. 用铁练锁住,束缚,囚禁
fundamental |  adj. 基本的,根本的,重要的 // n. 基本原理,基础
impose |  vi. 利用；欺骗；施加影响 // vt. 强加；征税；以…欺骗
democratic |  adj. 民主的, 大众的, 平等的
contrary |  adj. 相反的,截然不同的 // adv. 相反(地) // n. 反面,相反
explorer |  n. 探测者
define |  vt. 定义, 解释
overall |  adj. 全部的, 全体的, 一切在内的 // adv. 总的来说, 全部地 // n. 防护服，罩衫
award |  vt.授予，奖给，判给； 判归，判定 // n.奖品； （仲裁人、公断人的）裁定； （法院、法官的）判决； 裁定书
betray |  vt. 误导,出卖,背叛,泄露 vi. 证明...错误
hamster |  n. 仓鼠
attribute |  n. 属性, 特征; 标志, 象征 // vt. 归于, 属于
outline |  n. 大纲,轮廓,概要,略图,素描 // vt. 描画轮廓,描述要点
inherent |  adj. 内在的, 固有的
durable |  adj. 耐用持久的 // n. (复)耐用品
economic |  adj. 经济学的, 经济的，有利可图的 // n. [-s]经济学(状况等)
adhere |  vi. 坚守于, 对...忠贞, 紧抓着, 遵守 vt. 使附着, 使粘牢
whereas |  conj.&amp;adv. 然而,却,反之
ignorance |  n. 无知
concentrate |  vt.& vi.专心于； 注意； 集中； 聚集 // vt.浓缩，（使）浓缩； [采矿]汰选； 选矿，精选，富集 // vi.凝缩，浓缩，提纯 // n.浓缩物 // adj.集中起来的，经过浓缩的
document |  n. 文件,公文 // vt. 记载,用文件等证明 // [计算机] 文档
